http://bit.ly/musedata-menu								
This spreadsheet controls the file list menu on the musedata website (http://www.musedata.org)								
The SHORTCUT column for each file must be unique and is required.  This value will be used for the downloaded filename, and also to access data on the server in the form:    http://pdf.musedata.org/id?beet-sym1-study-2008								
LEVEL_1 should almost always be the composer's name								
LEVEL_2 could either be a genre, a collection (such as WTC), or a work name.								
The menu system allows up to 5 levels of categorization for the files (level 6 and higher are not allowed)								
The files will be listed in the menu in the order they are placed in this spreadsheet (with the exception that if more Beethoven files are added after another compoer's entries, they will be moved to the end of the Beethoven list).								
The DATA_URL column is the link to the data used to produce the PDF.  This must be the "raw/master" link to the data (not to the webpage where you can edit the data file).  Note in particular that there will be a long alphanumeric code when viewing the raw file on Bitbucket.  This string should be replaced with "master" (which means the most recent version of the file). 								
The URL column is an optional link to the CCARH wiki page related to the given work.								
LEVEL_1	LEVEL_2	LEVEL_3	LEVEL_4	LEVEL_5	SHORTCUT	DATA_URL	URL	NOTES
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in F major, op. 3, no. 1			corelli-op3-no01	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n01.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in D major, op. 3, no. 2			corelli-op3-no02	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n02.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in B-flat major, op. 3, no. 3			corelli-op3-no03	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n03.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in B minor, op. 3, no. 4			corelli-op3-no04	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n04.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in D minor, op. 3, no. 5			corelli-op3-no05	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n05.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in G major, op. 3, no. 6			corelli-op3-no06	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n06.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in E minor, op. 3, no. 7			corelli-op3-no07	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n07.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in C major, op. 3, no. 8			corelli-op3-no08	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n08.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in F minor, op. 3, no. 9			corelli-op3-no09	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n09.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in A minor, op. 3, no. 10			corelli-op3-no10	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n10.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in G minor, op. 3, no. 11			corelli-op3-no11	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n11.iff	http://corelli.ccarh.org	
Corelli	Sonate da chiesa, op. 3	Sonata da chiesa in A minor, op. 3, no. 12			corelli-op3-no12	https://raw.githubusercontent.com/musedata/corelli/master/op3/pages-score/corelli-op3n12.iff	http://corelli.ccarh.org	
								
Corelli	Sonate da camera, op. 4	Sonata da camera in C major, op. 4, no. 1			corelli-op4-no01	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n01.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in G minor, op. 4, no. 2			corelli-op4-no02	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n02.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in A major, op. 4, no. 3			corelli-op4-no03	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n03.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in D major, op. 4, no. 4			corelli-op4-no04	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n04.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in A minor, op. 4, no. 5			corelli-op4-no05	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n05.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in E major, op. 4, no. 6			corelli-op4-no06	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n06.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in F major, op. 4, no. 7			corelli-op4-no07	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n07.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in E minor, op. 4, no. 8			corelli-op4-no08	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n08.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in B-flat major, op. 4, no. 9			corelli-op4-no09	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n09.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in G major, op. 4, no. 10			corelli-op4-no10	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n10.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in C minor, op. 4, no. 11			corelli-op4-no11	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n11.iff	http://corelli.ccarh.org	
Corelli	Sonate da camera, op. 4	Sonata da camera in B minor, op. 4, no. 12			corelli-op4-no12	https://raw.githubusercontent.com/musedata/corelli/master/op4/pages-score/corelli-op4n12.iff	http://corelli.ccarh.org	
								
Corelli	Violin sonatas, op. 5	Violin sonata in D major, op. 5, no. 1			corelli-op5-no01	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n01.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Violin sonata in B-flat major, op. 5, no. 2			corelli-op5-no02	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n02.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Violin sonata in C major, op. 5, no. 3			corelli-op5-no03	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n03.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Violin sonata in F major, op. 5, no. 4			corelli-op5-no04	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n04.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Violin sonata in G minor, op. 5, no. 5			corelli-op5-no05	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n05.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Violin sonata in A major, op. 5, no. 6			corelli-op5-no06	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n06.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Violin sonata in D minor, op. 5, no. 7			corelli-op5-no07	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n07.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Violin sonata in E minor, op. 5, no. 8			corelli-op5-no08	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n08.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Violin sonata in A major, op. 5, no. 9			corelli-op5-no09	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n09.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Violin sonata in F major, op. 5, no. 10			corelli-op5-no10	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n10.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Violin sonata in E major, op. 5, no. 11			corelli-op5-no11	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n11.iff	http://corelli.ccarh.org	
Corelli	Violin sonatas, op. 5	Folia in D minor, op. 5, no. 12			corelli-op5-no12	https://raw.githubusercontent.com/musedata/corelli/master/op5/pages-score/corelli-op5n12.iff	http://corelli.ccarh.org	
								
Corelli	Concerti grossi, op. 6	<i>concerti da chiesa<i>	Concerto grosso in D major, op. 6, no. 1		corelli-op6-no01	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n01.iff	http://corelli.ccarh.org	
